label,RMSE,MAE,R2,N,model,features,distance,predict_step
LightGBM_baseline,472.37,298.52,0.956,1973,LightGBM,SCADA_only,N/A,0
XGBoost_baseline,466.39,287.66,0.9571,1973,XGBoost,SCADA_only,N/A,0
LightGBM_baseline,629.28,422.16,0.922,1973,LightGBM,SCADA_only,N/A,1
XGBoost_baseline,602.8,406.51,0.9284,1973,XGBoost,SCADA_only,N/A,1
LightGBM_baseline,760.62,528.12,0.886,1973,LightGBM,SCADA_only,N/A,2
XGBoost_baseline,730.93,505.57,0.8947,1973,XGBoost,SCADA_only,N/A,2
LightGBM_baseline,858.86,601.94,0.8546,1973,LightGBM,SCADA_only,N/A,3
XGBoost_baseline,843.34,599.2,0.8598,1973,XGBoost,SCADA_only,N/A,3
LightGBM_LIDAR_40m,566.7,365.37,0.9367,1973,LightGBM,SCADA+LiDAR_40m,40,1
LightGBM_LIDAR_60m,572.04,372.55,0.9355,1973,LightGBM,SCADA+LiDAR_60m,60,1
LightGBM_LIDAR_90m,581.51,377.23,0.9334,1973,LightGBM,SCADA+LiDAR_90m,90,1
LightGBM_LIDAR_120m,569.73,371.6,0.936,1973,LightGBM,SCADA+LiDAR_120m,120,1
LightGBM_LIDAR_150m,579.33,380.25,0.9339,1973,LightGBM,SCADA+LiDAR_150m,150,1
LightGBM_LIDAR_180m,568.35,371.53,0.9363,1973,LightGBM,SCADA+LiDAR_180m,180,1
LightGBM_LIDAR_210m,551.69,359.55,0.94,1973,LightGBM,SCADA+LiDAR_210m,210,1
LightGBM_LIDAR_240m,558.18,364.45,0.9386,1973,LightGBM,SCADA+LiDAR_240m,240,1
LightGBM_LIDAR_270m,566.9,368.65,0.9367,1973,LightGBM,SCADA+LiDAR_270m,270,1
LightGBM_LIDAR_300m,565.37,366.88,0.937,1973,LightGBM,SCADA+LiDAR_300m,300,1
LightGBM_all_LiDAR,559.68,361.75,0.9383,1973,LightGBM,SCADA+all_LiDAR,all,1
XGBoost_all_LiDAR,568.33,366.49,0.9364,1973,XGBoost,SCADA+all_LiDAR,all,1
LSTM_baseline,673.55,458.5,0.9106,1972,LSTM,SCADA_only,N/A,1
LSTM_all_LiDAR,721.73,503.46,0.8974,1972,LSTM,SCADA+all_LiDAR,all,1
